Time	Speed	Strategy	Background	StrategyC	BackgroundC
11.6	8	Med	Factory	M	F
15.9	8	Low	Factory	L	F
14.3	8	Low	Factory	L	F
16	9	Low	Rural	L	R
31.1	7	Low	Rural	L	R
21.9	7	Med	Urban	M	U
11.1	8	Low	Rural	L	R
18.2	8	Low	Urban	L	U
12.6	8	Med	Urban	M	U
36.4	7	Low	Factory	L	F
33.5	4	High	Factory	H	F
24.3	4	Low	Rural	L	R
30.1	4	High	Rural	H	R
29.5	4	Med	Urban	M	U
27.8	5	Low	Factory	L	F
24	5	High	Rural	H	R
22.4	4	Med	Factory	M	F
34.2	5	Low	Rural	L	R
19.6	5	Med	Urban	M	U
16.3	6	Med	Urban	M	U
38.1	6	High	Rural	H	R
20.3	6	High	Urban	H	U
18	6	High	Rural	H	R
30.8	4	Med	Urban	M	U
21.1	6	Low	Rural	L	R
18.7	4	Low	Rural	L	R
16.5	4	Med	Urban	M	U
22.4	5	High	Factory	H	F
12.1	6	High	Rural	H	R
21.1	6	Low	Urban	L	U
31.1	6	Low	Factory	L	F
20.8	6	Low	Urban	L	U
29.4	5	High	Rural	H	R
17.1	5	Med	Rural	M	R
25.1	6	Low	Rural	L	R
25.3	4	High	Factory	H	F
27.5	4	Med	Factory	M	F
18	4	High	Factory	H	F
17.5	4	High	Urban	H	U
23.7	4	High	Factory	H	F
32.7	5	Med	Factory	M	F
17.3	6	High	Urban	H	U
35.5	4	Low	Urban	L	U
16.3	6	High	Rural	H	R
40.8	6	Low	Urban	L	U
41.4	5	Low	Urban	L	U
20.4	5	High	Rural	H	R
23.7	6	High	Urban	H	U
29.7	5	Low	Urban	L	U
16.9	6	High	Factory	H	F
79.9	1	Med	Urban	M	U
74.3	1	Low	Factory	L	F
43.9	1	Low	Rural	L	R
27.5	1	High	Urban	H	U
57	2	Low	Factory	L	F
36.1	1	High	Factory	H	F
50.1	1	High	Rural	H	R
26.2	2	High	Urban	H	U
27.1	3	High	Rural	H	R
30.6	2	Low	Urban	L	U
17.9	3	High	Rural	H	R
53.2	3	High	Urban	H	U
44	2	High	Factory	H	F
40.6	2	High	Urban	H	U
41.2	2	Med	Rural	M	R
32.7	2	Med	Urban	M	U
35.8	3	High	Factory	H	F
40.2	2	Med	Factory	M	F
43.2	2	High	Rural	H	R
34.7	3	Med	Urban	M	U
22.3	3	Med	Urban	M	U
49.3	1	High	Factory	H	F
57.7	1	High	Urban	H	U
55.5	2	High	Rural	H	R
55	2	Low	Factory	L	F
57.4	3	Med	Rural	M	R
44	3	High	Rural	H	R
61.1	1	High	Factory	H	F
44.2	1	High	Factory	H	F
90.9	2	Low	Urban	L	U
71.3	2	Med	Urban	M	U
62.2	2	Low	Urban	L	U
25.2	3	Med	Urban	M	U
44.6	3	Low	Factory	L	F
53	1	High	Factory	H	F
48.9	1	Med	Rural	M	R
33.5	2	Med	Urban	M	U
29.5	2	Med	Urban	M	U
32.2	2	High	Urban	H	U
27.6	3	High	Factory	H	F
